"match_hometeam_id","match_id","epoch","match_status","match_live","match_hometeam_name","match_awayteam_id","match_awayteam_name","match_hometeam_score","match_awayteam_score","match_hometeam_halftime_score","match_awayteam_halftime_score","match_hometeam_extra_score","match_awayteam_extra_score","match_hometeam_penalty_score","match_awayteam_penalty_score","home_in_list","away_in_list","league_id"
7620,149169,1541433600,"Finished",0,"Goztepe",7623,"Rizespor",2,0,1,0,1,0,NA,NA,1,1,511
7090,149084,1541444400,"Finished",0,"Espanyol",7104,"Ath Bilbao",1,0,1,0,1,0,NA,NA,1,1,468
3235,149204,1541530800,"Finished",0,"Schalke",7606,"Galatasaray",2,0,1,0,1,0,NA,NA,1,1,195
4174,149203,1541530800,"Finished",0,"Napoli",3040,"Paris SG",1,1,0,1,0,1,NA,NA,1,1,262
4189,149202,1541530800,"Finished",0,"Inter",7105,"Barcelona",1,1,0,0,0,0,NA,NA,1,1,262
7106,149200,1541530800,"Finished",0,"Atl. Madrid",3230,"Dortmund",2,0,1,0,1,0,NA,NA,1,1,468
3026,149312,1541617200,"Finished",0,"Lyon",3233,"Hoffenheim",2,2,2,0,2,0,NA,NA,1,1,176
4187,149311,1541617200,"Finished",0,"Juventus",2627,"Manchester Utd",1,2,0,0,0,0,NA,NA,1,1,262
4183,149485,1541696100,"Finished",0,"Lazio",3023,"Marseille",2,1,1,0,1,0,NA,NA,1,1,262
7091,149492,1541703600,"Finished",0,"Betis",4186,"AC Milan",1,1,1,0,1,0,NA,NA,1,1,468
7618,149762,1541779200,"Finished",0,"Yeni Malatyaspor",7605,"Trabzonspor",5,0,2,0,2,0,NA,NA,1,1,511
3022,149583,1541789100,"Finished",0,"Lille",3036,"Strasbourg",0,0,0,0,0,0,NA,NA,1,1,176
7097,149587,1541790000,"Finished",0,"Levante",7101,"Real Sociedad",1,3,1,0,1,0,NA,NA,1,1,468
7611,150759,1541842200,"Finished",0,"Konyaspor",7621,"Ankaragucu",2,0,0,0,0,0,NA,NA,1,1,511
7115,149811,1541847600,"Finished",0,"Valladolid",7096,"Eibar",0,0,0,0,0,0,NA,NA,1,1,468
7623,150760,1541851200,"Finished",0,"Rizespor",7615,"Basaksehir",1,2,NA,NA,NA,NA,NA,NA,1,1,511
4170,149804,1541854800,"Finished",0,"Torino",4192,"Parma",1,2,1,2,1,2,NA,NA,1,1,262
3222,149799,1541856600,"Finished",0,"Freiburg",3237,"Mainz",1,3,0,2,0,2,NA,NA,1,1,195
3223,149802,1541856600,"Finished",0,"Werder Bremen",3234,"B. Monchengladbach",1,3,0,1,0,1,NA,NA,1,1,195
3233,149800,1541856600,"Finished",0,"Hoffenheim",3224,"Augsburg",2,1,0,0,0,0,NA,NA,1,1,195
3256,149798,1541856600,"Finished",0,"Dusseldorf",3231,"Hertha Berlin",4,1,0,0,0,0,NA,NA,1,1,195
2611,149789,1541858400,"Finished",0,"Leicester",2629,"Burnley",0,0,0,0,0,0,NA,NA,1,1,148
2614,149791,1541858400,"Finished",0,"Southampton",2623,"Watford",1,1,1,0,1,0,NA,NA,1,1,148
2630,149790,1541858400,"Finished",0,"Newcastle",2615,"Bournemouth",2,1,2,1,2,1,NA,NA,1,1,148
7100,149812,1541859300,"Finished",0,"Getafe",7109,"Valencia",0,1,0,0,0,0,NA,NA,1,1,468
7604,150761,1541862000,"Finished",0,"Kayserispor",7606,"Galatasaray",0,3,NA,NA,NA,NA,NA,NA,1,1,511
4178,149805,1541865600,"Finished",0,"Spal",4171,"Cagliari",2,2,1,0,1,0,NA,NA,1,1,262
2619,149792,1541867400,"Finished",0,"Crystal Palace",2628,"Tottenham",0,1,0,0,0,0,NA,NA,1,1,148
3230,149803,1541867400,"Finished",0,"Dortmund",3225,"Bayern Munich",3,2,0,1,0,1,NA,NA,1,1,195
7106,149813,1541867400,"Finished",0,"Atl. Madrid",7104,"Ath Bilbao",3,2,0,1,0,1,NA,NA,1,1,468
3024,149797,1541872800,"Finished",0,"Toulouse",3033,"Amiens",0,1,0,1,0,1,NA,NA,1,1,176
3025,149796,1541872800,"Finished",0,"St Etienne",3046,"Reims",2,0,2,0,2,0,NA,NA,1,1,176
3037,149794,1541872800,"Finished",0,"Angers",3034,"Montpellier",1,0,0,0,0,0,NA,NA,1,1,176
3049,149795,1541872800,"Finished",0,"Nimes",3041,"Nice",0,1,0,0,0,0,NA,NA,1,1,176
4179,149806,1541874600,"Finished",0,"Genoa",4174,"Napoli",1,2,1,0,1,0,NA,NA,1,1,262
4181,150851,1541932200,"Finished",0,"Atalanta",4189,"Inter",4,1,1,0,1,0,NA,NA,1,1,262
4184,150852,1541941200,"Finished",0,"AS Roma",4176,"Sampdoria",4,1,1,0,1,0,NA,NA,1,1,262
4203,151241,1541941200,"Finished",0,"Brescia",4188,"Verona",4,2,2,0,2,0,NA,NA,1,1,262
2616,150842,1541942100,"Finished",0,"Chelsea",2612,"Everton",0,0,0,0,0,0,NA,NA,1,1,148
3226,150849,1541943000,"Finished",0,"RB Leipzig",3227,"Bayer Leverkusen",3,0,1,0,1,0,NA,NA,1,1,195
7603,151775,1541944800,"Finished",0,"Fenerbahce",7613,"Alanyaspor",2,0,2,0,2,0,NA,NA,1,1,511
7105,150862,1541945700,"Finished",0,"Barcelona",7091,"Betis",3,4,0,2,0,2,NA,NA,1,1,468
3023,150846,1541948400,"Finished",0,"Marseille",3030,"Dijon",2,0,1,0,1,0,NA,NA,1,1,176
3035,150847,1541948400,"Finished",0,"Rennes",3031,"Nantes",1,1,1,1,1,1,NA,NA,1,1,176
2617,150843,1541950200,"Finished",0,"Arsenal",2646,"Wolves",1,1,0,1,0,1,NA,NA,1,1,148
2626,150844,1541950200,"Finished",0,"Manchester City",2627,"Manchester Utd",3,1,1,0,1,0,NA,NA,1,1,148
3238,150850,1541952000,"Finished",0,"Eintracht Frankfurt",3235,"Schalke",3,0,0,0,0,0,NA,NA,1,1,195
4175,150855,1541952000,"Finished",0,"Sassuolo",4183,"Lazio",1,1,1,1,1,1,NA,NA,1,1,262
7102,150864,1541953800,"Finished",0,"Sevilla",7090,"Espanyol",2,1,0,1,0,1,NA,NA,1,1,468
7614,151777,1541953800,"Finished",0,"Besiktas",7610,"Sivasspor",1,2,1,1,1,1,NA,NA,1,1,511
4186,150856,1541961000,"Finished",0,"AC Milan",4187,"Juventus",0,2,0,1,0,1,NA,NA,1,1,262
7095,150865,1541961900,"Finished",0,"Celta Vigo",7099,"Real Madrid",2,4,0,1,0,1,NA,NA,1,1,468
3039,150848,1541962800,"Finished",0,"Monaco",3040,"Paris SG",0,4,0,2,0,2,NA,NA,1,1,176
7108,154054,1542186000,"Finished",0,"Alaves (Esp)",7113,"Osasuna (Esp)",2,0,0,0,0,0,NA,NA,1,1,468
3236,152166,1542285000,"Finished",0,"Wolfsburg (Ger)",3268,"Paderborn (Ger)",1,3,1,1,1,1,NA,NA,1,1,195
3024,154188,1542295800,"Finished",0,"Toulouse (Fra)",7101,"Real Sociedad (Esp)",2,2,1,1,1,1,NA,NA,1,1,176
